oprt_fm,guNm,pkNam,mgntNum,doroAddr,jibunAddr,tponNum,pkFm,pkCnt,svcSrtTe,svcEndTe,satSrtTe,satEndTe,hldSrtTe,hldEndTe,ldRtg,tenMin,ftDay,ftMon,xCdnt,yCdnt,fnlDt,pkGubun,bujeGubun,oprDay,feeInfo,pkBascTime,pkAddTime,feeAdd,ftDayApplytime,payMtd,spclNote,currava,collected_at
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 07:54:36
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 07:54:36
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 07:54:36
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 09:26:06
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 09:26:06
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 09:26:06
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 09:26:06
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 09:26:06
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 09:26:06
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 11:21:00
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 11:21:00
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 11:21:00
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 11:21:00
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 11:21:00
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 11:21:00
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 13:57:56
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 13:57:56
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 13:57:56
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 13:57:56
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 13:57:56
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 13:57:56
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 15:43:52
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 15:43:52
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 15:43:52
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 15:43:52
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 15:43:52
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 15:43:52
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 17:22:38
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 17:22:38
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 17:22:38
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 17:22:38
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 17:22:38
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 17:22:38
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 19:23:21
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 19:23:21
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 19:23:21
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 19:23:21
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 19:23:21
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 19:23:21
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 21:05:09
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 21:05:09
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 21:05:09
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 21:05:09
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 21:05:09
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 21:05:09
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-08 22:58:13
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 22:58:13
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-08 22:58:13
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-08 22:58:13
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 22:58:13
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-08 22:58:13
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-09 00:04:34
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 00:04:34
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-09 00:04:34
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-09 00:04:34
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 00:04:34
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 00:04:34
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-09 04:25:20
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 04:25:20
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-09 04:25:20
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-09 04:25:20
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 04:25:20
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 04:25:20
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-09 07:10:15
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 07:10:15
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-09 07:10:15
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-09 07:10:15
,부산광역시 수영구청,민락수변공원 공영주차장,2015000001,-,수영구 민락동 110-7,-,노상,43,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,35.157,129.133,02/11/2020,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 07:10:15
,부산광역시 수영구청,민락해변공원공영주차장,2015000002,-,수영구 민락동 181-78,-,노상,26,10:00,02:00,10:00,02:00,10:00,02:00,2,300,8000,160000,-,-,11/01/2018,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 07:10:15
,부산광역시 남구청,수영로69번길 공영주차장,2009000005,-,남구 문현3동 262-2,-,노외,16,00:00,24:00,00:00,24:00,00:00,24:00,4,0,0,40000,-,-,07/30/2014,공영,-,-,-,10,10,0,-,-,-,-,2026-05-09 09:22:36
,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,00:00,24:00,00:00,24:00,00:00,24:00,2,300,8000,160000,35.155,129.127,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-,2026-05-09 09:22:36
,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,08:00,20:00,08:00,20:00,08:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-,2026-05-09 09:22:36
,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,00:00,24:00,00:00,24:00,00:00,24:00,2,500,15000,240000,35.155,129.116,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-,2026-05-09 09:22:36
